task_name,id,definition,inputs,targets
task089_swap_words_verification,task089-64510e3cc97e4aa6ab2af5e895aea5f6,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",there is book a that is laying on the bed,"(3, 4)"
task1346_glue_cola_grammatical_correctness_classification,task1346-d4b8ad9fa751406e8d95b1e8d103c2e6,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",Joan plays and sings folk songs a wonderful old guitar from Spain.,0
task089_swap_words_verification,task089-ff510569660b46d6995f15bdb28c603a,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",young boys are skiing in the with snow helmets on,"(7, 8)"
task955_wiki_auto_style_transfer,task955-b49a7a0ae8b1495eb1a1d958bc6c5b06,"In this task, we ask you to elaborate the sentence without changing its general meaning. You can do so by explaining further the input sentence, using more precise wording, adding qualifiers and auxiliary information etc.","In geometry , a line segment is a line between two different end points .","In geometry , a line segment is a part of a line that is bounded by two distinct end points , and contains every point on the line between its endpoints ."
task1346_glue_cola_grammatical_correctness_classification,task1346-20c23fc61107483f93f3608a31dc36ef,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",Some answered any question.,0
task089_swap_words_verification,task089-d1cc66e197ee494e9c9277dd008422bf,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A guy at sitting the top of a ramp with a skate board,"(3, 4)"
task089_swap_words_verification,task089-4400fa53c0794ddd9d296b2b4cf08f7f,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A toilet sitting on a cement outside pad,"(7, 8)"
task1346_glue_cola_grammatical_correctness_classification,task1346-6d3ea8866cf3400fa22eac718cd74c4c,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",On the line are drying a lot of clothes.,0
task089_swap_words_verification,task089-132b2824c40744f98a4d3334d42b817f,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",Snowboarder in midair after a on jump the side of a mountain,"(6, 7)"
task089_swap_words_verification,task089-4c65bba60e97463fa594c431dc3e31fe,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A man in a floppy hat flies a rainbow kite colored at the beach,"(10, 11)"
task1346_glue_cola_grammatical_correctness_classification,task1346-7a13a355732f462a9ae95d32ff7ef1bc,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",The jeweller inscribed the ring with the name.,1
task109_smsspamcollection_spamsmsdetection,task109-ecd54ac043804d9c8f48aa546b75c5bc,"In this task, you're given text messages in natural language. Your task is to classify those text messages based on their content into two classes: (1) Spam and (2) Ham messages. If the content of the given message is irrelevant to the receiver or is equally relevant to many other potential recipients then it must be labeled as ‘spam’, otherwise, it should be labeled as ‘ham’.","Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",spam
task089_swap_words_verification,task089-1e82f490fb8b45cd9a25af1e79501641,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",there is a small kitchen that has shelfs many in it,"(8, 9)"
task109_smsspamcollection_spamsmsdetection,task109-53549aaf88e540f98da270174870266c,"In this task, you're given text messages in natural language. Your task is to classify those text messages based on their content into two classes: (1) Spam and (2) Ham messages. If the content of the given message is irrelevant to the receiver or is equally relevant to many other potential recipients then it must be labeled as ‘spam’, otherwise, it should be labeled as ‘ham’.","FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",spam
